time,feedback,attendance,performance
5,4.5,90,0.90
8,3.0,70,0.50
6,4.0,85,0.80
7,3.5,80,0.72
4,4.8,95,0.96
9,2.5,60,0.40
6,3.8,88,0.82
10,2.0,50,0.30
3,4.9,98,0.98
7,3.2,75,0.65
5,4.2,92,0.88
8,3.1,72,0.55
6,4.5,89,0.91
9,2.8,65,0.45
4,4.7,96,0.95
7,3.6,78,0.73
8,3.0,70,0.50
5,4.6,91,0.92
6,4.1,87,0.85
9,2.7,62,0.42
7,3.9,84,0.81
5,4.3,93,0.89
8,3.4,76,0.60
6,4.0,86,0.83
9,2.6,63,0.41
4,4.9,97,0.97
7,3.3,74,0.66
5,4.7,94,0.94
8,3.2,71,0.57
6,4.2,88,0.86
9,2.9,66,0.46
4,4.8,95,0.96
7,3.5,79,0.71
5,4.4,92,0.90
8,3.0,73,0.52
6,4.1,85,0.84
9,2.4,58,0.38
4,4.9,99,0.99
7,3.7,77,0.74
5,4.5,90,0.91
8,3.1,72,0.56
6,4.0,87,0.82
9,2.5,61,0.39
4,4.7,96,0.95
7,3.4,80,0.70
5,4.6,93,0.93
8,3.2,75,0.58
6,4.3,88,0.87
9,2.8,64,0.44
